"equipo";"jugador","1-cantidadMinutos","2-goles","3-penaltis","4-autogoles","5-asistencias","6-golesRecibidos","7-penaltisRecibidos","8-penaltisAtajados","9-penaltisErrados","10-tarjetasAmarillas","11-tarjetasRojas"
Manchester United,Club Olimpia,10/01/2022,17:30,2
Manchester United;B. Kamara,90,0,0,0,0,2,0,0,0,0,0
Manchester United;R. Magyar,90,0,0,0,0,2,0,0,0,1,0
Manchester United;M. Youssouf,90,0,0,0,0,2,0,0,0,0,0
Manchester United;Zhao Honglue,90,0,0,0,0,2,0,0,0,0,0
Manchester United;N. Lima,90,0,0,0,0,2,0,0,0,0,0
Manchester United;Y. Kechta,90,0,0,0,0,2,0,0,0,0,0
Manchester United;S. Ingelsson,90,0,0,0,0,2,0,0,0,0,0
Manchester United;P. Ulvestad,45,0,0,0,0,2,0,0,0,0,0
Manchester United;A. Robinson,90,0,0,0,0,2,0,0,0,0,0
Manchester United;Y. Njie,60,0,0,0,0,2,0,0,0,0,0
Manchester United;C. Ronaldo,75,0,0,0,0,2,0,0,0,0,0
Club Olimpia;T. Shibuya,90,0,0,0,0,0,0,0,0,0,0
Club Olimpia;M. te Wierik,90,0,0,0,0,0,0,0,0,0,0
Club Olimpia;O. Gallacher,90,0,0,0,0,0,0,0,0,1,0
Club Olimpia;R. Millen,90,0,0,0,0,0,0,0,0,1,0
Club Olimpia;Hong Jeong Ho,90,0,0,0,0,0,0,0,0,1,0
Club Olimpia;A. Karimi,90,0,0,0,0,0,0,0,0,0,0
Club Olimpia;F. Hinestroza,90,0,0,0,0,0,0,0,0,0,0
Club Olimpia;Pimentiscinho,90,0,0,0,1,0,0,0,0,0,0
Club Olimpia;Lee Yeong Jae,90,1,0,0,1,0,0,0,0,0,0
Club Olimpia;M. Majrashi,90,0,0,0,0,0,0,0,0,0,0
Club Olimpia;M. Ikeda,90,1,0,0,0,0,0,0,0,0,0
